epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,383.773,1.86902,2.46569,2.07907,0.41798,0.25375,0.21511,0.0805,1.98273,2.37612,2.40692,0.0049015,0.0049015,0.0049015
105,387.483,1.82882,2.4384,2.03981,0.73667,0.13791,0.25669,0.11228,1.86623,2.33131,2.30767,0.004852,0.004852,0.004852
106,391.026,1.83581,2.43855,2.09548,0.5507,0.20864,0.26007,0.10699,1.87,2.3176,2.31614,0.0048025,0.0048025,0.0048025
107,394.485,1.8019,2.4309,2.06982,0.56776,0.24703,0.25798,0.10577,1.85414,2.20394,2.28994,0.004753,0.004753,0.004753
108,397.954,1.91413,2.58221,2.14362,0.51716,0.29163,0.24671,0.1034,1.86113,2.21128,2.29309,0.0047035,0.0047035,0.0047035
109,401.449,1.8426,2.40244,2.06592,0.56735,0.31301,0.3016,0.12342,1.85346,2.04815,2.26189,0.004654,0.004654,0.004654
110,404.955,1.83031,2.45135,2.03109,0.56543,0.26574,0.26919,0.09495,1.9709,2.12474,2.33382,0.0046045,0.0046045,0.0046045
111,408.447,1.84839,2.46714,2.0396,0.57046,0.27465,0.27549,0.11052,1.87715,2.09087,2.3404,0.004555,0.004555,0.004555
112,411.908,1.84321,2.47802,2.04537,0.55979,0.25467,0.27307,0.11151,1.89814,2.40704,2.36833,0.0045055,0.0045055,0.0045055
113,415.546,1.83576,2.37698,2.07324,0.51228,0.28189,0.25507,0.0933,1.9918,2.16158,2.37892,0.004456,0.004456,0.004456
114,418.997,1.80978,2.35959,2.01718,0.63586,0.28393,0.31627,0.12934,1.89647,2.01051,2.29414,0.0044065,0.0044065,0.0044065
115,422.46,1.80352,2.27499,2.03197,0.5806,0.33371,0.31082,0.12876,1.91034,2.15812,2.30227,0.004357,0.004357,0.004357
116,425.948,1.79414,2.33905,2.02398,0.55787,0.32039,0.30473,0.11655,1.8662,2.26087,2.27028,0.0043075,0.0043075,0.0043075
117,429.417,1.85488,2.3178,2.03569,0.59947,0.30361,0.3199,0.12903,1.79322,2.21259,2.26113,0.004258,0.004258,0.004258
118,432.898,1.83965,2.39576,2.07262,0.54573,0.30184,0.2761,0.10831,1.83424,2.54345,2.30851,0.0042085,0.0042085,0.0042085
119,436.396,1.78909,2.47341,2.04016,0.50655,0.30947,0.28553,0.10913,1.81378,2.5805,2.28853,0.004159,0.004159,0.004159
120,439.893,1.78278,2.27775,2.00292,0.52807,0.33921,0.28002,0.10909,1.80879,2.59238,2.26952,0.0041095,0.0041095,0.0041095
121,443.401,1.72461,2.33524,1.99872,0.49014,0.31926,0.28723,0.11073,1.83819,2.52258,2.29045,0.00406,0.00406,0.00406
122,446.856,1.81035,2.36449,2.04336,0.62549,0.2867,0.33126,0.13441,1.83201,2.30889,2.2762,0.0040105,0.0040105,0.0040105
123,450.318,1.75341,2.31965,1.99517,0.6402,0.29637,0.34748,0.14568,1.83124,2.16345,2.25136,0.003961,0.003961,0.003961
124,453.775,1.79802,2.30915,2.01294,0.57693,0.37492,0.37003,0.16119,1.73464,1.90916,2.18358,0.0039115,0.0039115,0.0039115
125,457.231,1.78641,2.27586,2.00689,0.62767,0.30825,0.35619,0.15148,1.79084,1.97293,2.25558,0.003862,0.003862,0.003862
126,460.669,1.80749,2.3183,1.9999,0.59773,0.28648,0.33047,0.14131,1.91102,2.26544,2.33283,0.0038125,0.0038125,0.0038125
127,464.114,1.84825,2.16569,2.00954,0.61818,0.26955,0.34954,0.15583,1.8168,1.98511,2.24055,0.003763,0.003763,0.003763
128,467.586,1.78242,2.19981,1.99883,0.59474,0.37568,0.39573,0.1763,1.7502,1.87487,2.14608,0.0037135,0.0037135,0.0037135
129,471.071,1.73312,2.24965,1.97153,0.59267,0.37888,0.37747,0.15707,1.78092,1.92918,2.14336,0.003664,0.003664,0.003664
130,474.539,1.73517,2.17284,1.92105,0.57217,0.36117,0.36743,0.16694,1.80613,1.84311,2.17873,0.0036145,0.0036145,0.0036145
131,477.988,1.76967,2.20042,1.99357,0.62475,0.34753,0.38129,0.17131,1.7972,1.78376,2.17229,0.003565,0.003565,0.003565
132,481.421,1.77477,2.25272,1.95405,0.59139,0.37936,0.41481,0.19012,1.74985,1.73528,2.12554,0.0035155,0.0035155,0.0035155
133,484.88,1.74599,2.22767,1.96444,0.62299,0.3703,0.41487,0.19703,1.69891,1.82639,2.1,0.003466,0.003466,0.003466
134,488.39,1.71299,2.06942,1.91312,0.65685,0.34645,0.46145,0.2224,1.6964,1.83374,2.10603,0.0034165,0.0034165,0.0034165
135,491.998,1.77609,2.23581,1.96375,0.61824,0.35659,0.46194,0.23777,1.64135,1.86759,2.03697,0.003367,0.003367,0.003367
136,495.456,1.79442,2.24701,1.9935,0.64148,0.34175,0.425,0.21023,1.70016,1.97337,2.09298,0.0033175,0.0033175,0.0033175
137,498.853,1.74795,2.28816,1.94431,0.65825,0.32233,0.42153,0.21093,1.67855,1.77438,2.06341,0.003268,0.003268,0.003268
138,502.269,1.74471,2.20125,1.94611,0.64104,0.34976,0.485,0.23014,1.65851,1.82269,2.05094,0.0032185,0.0032185,0.0032185
139,505.702,1.70625,2.24527,1.93224,0.58265,0.38331,0.48218,0.22529,1.71794,2.08304,2.11873,0.003169,0.003169,0.003169
140,509.16,1.73108,2.2386,1.90433,0.53372,0.37283,0.41141,0.18595,1.82294,2.97955,2.22556,0.0031195,0.0031195,0.0031195
141,512.619,1.66172,2.07911,1.88807,0.58231,0.39599,0.41665,0.18103,1.76019,3.17684,2.1618,0.00307,0.00307,0.00307
142,516.072,1.6828,2.10989,1.90383,0.60029,0.36863,0.41469,0.19589,1.68455,2.2801,2.07609,0.0030205,0.0030205,0.0030205
143,519.483,1.71178,2.09796,1.93349,0.6206,0.37587,0.43577,0.22093,1.62967,1.83267,2.03049,0.002971,0.002971,0.002971
144,522.959,1.7342,2.23234,1.94358,0.65509,0.37046,0.50818,0.2472,1.60404,1.74984,2.01582,0.0029215,0.0029215,0.0029215
145,526.413,1.64496,2.05953,1.88343,0.64097,0.39098,0.44861,0.20942,1.65875,1.77048,2.0415,0.002872,0.002872,0.002872
146,529.857,1.67671,2.09092,1.911,0.61801,0.32478,0.36456,0.15744,1.8066,1.88607,2.18279,0.0028225,0.0028225,0.0028225
147,533.294,1.70281,2.06284,1.94927,0.60294,0.34135,0.36809,0.16845,1.77113,1.77834,2.17511,0.002773,0.002773,0.002773
148,536.751,1.77879,2.22104,1.94882,0.60077,0.35433,0.39517,0.18832,1.67275,1.78395,2.12821,0.0027235,0.0027235,0.0027235
149,540.184,1.66334,2.12987,1.89466,0.65783,0.3699,0.43604,0.2129,1.63518,1.65054,2.06577,0.002674,0.002674,0.002674
150,543.605,1.78388,2.18882,1.95938,0.70304,0.30312,0.43844,0.20847,1.65694,1.69839,2.05979,0.0026245,0.0026245,0.0026245
151,547.001,1.64249,2.15664,1.87907,0.70548,0.34274,0.46614,0.21422,1.62458,1.6106,2.00583,0.002575,0.002575,0.002575
152,550.613,1.6796,2.14269,1.91847,0.64205,0.40682,0.45053,0.21925,1.61273,1.61246,1.99366,0.0025255,0.0025255,0.0025255
153,553.987,1.61713,2.07629,1.87696,0.63868,0.37613,0.44445,0.22263,1.60184,1.64777,2.00609,0.002476,0.002476,0.002476
154,557.364,1.68989,2.20624,1.92154,0.60406,0.38064,0.45313,0.23044,1.68904,1.70938,2.07873,0.0024265,0.0024265,0.0024265
155,560.803,1.69224,2.05458,1.88487,0.59521,0.40217,0.51131,0.27075,1.6966,1.70624,2.06793,0.002377,0.002377,0.002377
156,564.219,1.67643,2.09184,1.90023,0.54447,0.43263,0.51367,0.2775,1.6333,1.6285,2.02262,0.0023275,0.0023275,0.0023275
157,567.655,1.6968,1.97163,1.89645,0.60856,0.39521,0.50419,0.26267,1.5882,1.5791,1.99497,0.002278,0.002278,0.002278
158,571.069,1.6911,1.98433,1.88953,0.73214,0.34795,0.47529,0.24345,1.57224,1.55468,1.98439,0.0022285,0.0022285,0.0022285
159,574.502,1.61947,1.90983,1.81961,0.59151,0.4275,0.45626,0.22859,1.6359,1.57102,2.03302,0.002179,0.002179,0.002179
160,577.888,1.63315,1.96345,1.84487,0.64302,0.41087,0.47148,0.23865,1.59727,1.5167,1.99552,0.0021295,0.0021295,0.0021295
161,581.311,1.68113,2.00317,1.90271,0.67325,0.42182,0.50707,0.27473,1.51359,1.49183,1.93949,0.00208,0.00208,0.00208
162,584.718,1.62098,1.99943,1.85998,0.66575,0.43782,0.57497,0.31192,1.54196,1.5437,1.97517,0.0020305,0.0020305,0.0020305
